fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231127 005757	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	48	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.284702733627637	0.893337219711684	291	37199	13479	167687539.730135	12
20231127 011209	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	505	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.0340964396373602	0.675509501300257	750	43399	12204	179464733.633183	13
20231127 012017	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.0946394854626851	0.444565591000428	43	6476	11159	156191307.846077	14
20231127 012822	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	30	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.229497860653792	0.952796906834556	985	20319	10427	168044403.298351	15
20231127 014030	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	695	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.148828460177174	0.184303379332705	330	44547	13056	155503212.393803	16
20231127 015532	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	366	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.0200583558653488	0.610808916002306	848	33865	11937	179828366.316842	17
20231127 020256	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	572	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.0203102744711869	0.011835459433224	8	17674	11213	170222323.338331	18
20231127 022417	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	753	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.0200453973409976	0.479586131448776	789	37902	13709	178546005.497251	19
20231127 024111	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	488	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.0239740723369864	0.46254790947766	42	31794	13151	178307417.791104	20
20231127 024903	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	31	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.205535665260932	0.955586127455214	44	26545	14015	172044065.467266	21
20231127 025803	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	273	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.020278674559474	0.884216497823846	8	16988	11417	177261209.895052	22
20231127 030613	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	702	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.0201173555155307	0.0110213443670089	1024	29393	12234	172173434.282859	23
20231127 032508	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	872	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.0201718464353205	0.661529033783358	1023	49990	11741	179397367.816092	24
20231127 034000	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	906	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.0200717838994269	0.728233124850004	8	49972	12448	185553915.042479	25
20231127 035926	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	920	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.0204466015581124	0.999743825324928	35	49916	12438	179773720.13993	26
20231127 042921	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3436	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.0200504383954833	0.098419832418154	9	49986	14413	174332208.395802	27
20231127 043647	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	21	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.204761491222045	0.763581822681669	1024	35266	12156	171903082.458771	28
20231127 045005	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	516	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.0530428099516599	0.686195901167451	71	49980	13496	178674926.536732	29
20231127 050459	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	391	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.0200543417089916	0.764356862683378	362	28578	12647	178035477.761119	30
20231127 051547	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	146	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.0460001407868486	0.998084555645692	1024	20479	10460	177399450.274863	31
20231127 052305	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	56	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.299472389551109	0.999384050114711	951	50000	10569	171702237.381309	32
20231127 053505	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	596	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.0202670144195287	0.70576580040611	8	42965	10926	183679419.290355	33
20231127 054315	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	52	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.122287486925713	0.999959680232296	1024	29000	11696	175940273.863068	34
20231127 055422	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1585	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.203201610534508	0.0100373159584634	8	22657	11723	158594032.483758	35
20231127 061027	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	352	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.0200431749525992	0.444562917778454	880	18570	10653	171596716.141929	36
20231127 063804	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1577	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.0200070650542854	0.338212566421307	498	49970	13147	179902914.042979	37
20231127 065331	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	512	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.0200021417009694	0.998235248234519	1024	41116	11538	180472600.69965	38
20231127 071219	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	844	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.0200563831510619	0.850221116440251	651	50000	11418	180112140.929535	39
20231127 071937	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	53	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.233367099999858	0.999220481130189	450	49996	11042	174713136.431784	40
20231127 073005	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	216	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.0523007045325926	0.883492985165632	1024	34749	11810	175651619.190405	41
20231127 074046	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	192	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.1148438837855	0.999902050096071	249	19079	11656	166614496.751624	42
20231127 074512	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.114781468034779	0.010015566491268	1024	27620	13443	164274072.463768	43
20231127 080722	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	743	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.0201933412233098	0.582584759374657	358	49962	12763	178289464.767616	44
20231127 081355	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	128	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.238483857298392	0.726769770779576	8	49990	13583	178767675.662169	45
20231127 084223	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1916	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.020008229135751	0.274396573893089	1024	49307	14897	177347266.866567	46
20231127 085633	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	774	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.0200359343107858	0.146122412333311	763	22159	11997	171099740.629685	47
20231127 090239	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	76	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.174807031633738	0.999189650646052	8	49714	10940	171003948.025987	48
20231127 091101	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	51	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.175818564607814	0.999816586156069	709	29293	12049	173722687.156422	49
20231127 092637	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	376	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.0202448667874917	0.99985027680298	917	27807	11635	178620287.356322	50
20231127 093409	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	50	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.0201034304358755	0.997081843641661	8	132	7942	166394785.607196	51
20231127 094914	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	931	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.0200591038477948	0.817874289242194	8	49763	12464	183633179.410295	52
20231127 095644	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	151	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.047098568686228	0.715620295878568	8	24433	10317	176781739.630185	53
20231127 100625	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	220	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.0201131722004487	0.65184526224197	11	10547	11383	173543387.806097	54
20231127 101333	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	32	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.289104227899364	0.997243400639122	19	49984	12590	180073198.4008	55
20231127 102525	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	580	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.0224646574942657	0.726861904633158	8	46112	11809	182018159.42029	56
20231127 103143	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	125	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.240839585595147	0.998632499284044	8	42276	11351	180562530.234883	57
20231127 104419	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	641	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.0201623929839188	0.997847902334422	8	34618	11242	181234715.642179	58
20231127 105551	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	544	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.0319158765088083	0.733165797450614	8	39219	11917	181820340.329835	59
20231127 110513	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	181	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.146994701258103	0.999353222963712	1024	50000	12757	177362169.415292	60
20231127 111257	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	85	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.221754865189178	0.717950344490791	1024	49998	11428	176012435.782109	61
20231127 112327	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	158	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.0364793152539867	0.996860606698787	616	31524	11790	179357176.411794	62
20231127 112905	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	76	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.29990484105808	0.980157128422104	8	17930	13498	164316418.790605	63
20231127 113656	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	79	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.193871527272619	0.999760443483421	1024	43626	11261	168325683.658171	64
20231127 114706	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	274	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.101233089611894	0.718069964987966	819	49994	9677	170529105.947026	65
20231127 115134	654	1525733	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	TRUE	300779	0.299735625177734	0.0144337535568624	1015	49985	14562	156603111.444278	66
